radius depth density Vs Qmu
5.3909e+05 5.8319e+06 1.3025e+04 3.6360e+03 1.0400e+02
5.4592e+05 5.8251e+06 1.3024e+04 3.6351e+03 1.0400e+02
5.5274e+05 5.8183e+06 1.3022e+04 3.6343e+03 1.0400e+02
5.5957e+05 5.8114e+06 1.3020e+04 3.6335e+03 1.0400e+02
5.6639e+05 5.8046e+06 1.3019e+04 3.6327e+03 1.0400e+02
5.7321e+05 5.7978e+06 1.3017e+04 3.6318e+03 1.0400e+02
5.8004e+05 5.7910e+06 1.3015e+04 3.6309e+03 1.0400e+02
5.8686e+05 5.7841e+06 1.3013e+04 3.6301e+03 1.0400e+02
5.9368e+05 5.7773e+06 1.3012e+04 3.6292e+03 1.0400e+02
6.0051e+05 5.7705e+06 1.3010e+04 3.6283e+03 1.0400e+02
6.0733e+05 5.7637e+06 1.3008e+04 3.6274e+03 1.0400e+02
6.1416e+05 5.7568e+06 1.3006e+04 3.6265e+03 1.0400e+02
6.2098e+05 5.7500e+06 1.3005e+04 3.6256e+03 1.0400e+02
6.2780e+05 5.7432e+06 1.3003e+04 3.6246e+03 1.0400e+02
6.3463e+05 5.7364e+06 1.3001e+04 3.6237e+03 1.0400e+02
6.4145e+05 5.7295e+06 1.2999e+04 3.6227e+03 1.0400e+02
6.4828e+05 5.7227e+06 1.2997e+04 3.6218e+03 1.0400e+02
6.5510e+05 5.7159e+06 1.2995e+04 3.6208e+03 1.0400e+02
6.6192e+05 5.7091e+06 1.2993e+04 3.6198e+03 1.0400e+02
6.6875e+05 5.7023e+06 1.2991e+04 3.6188e+03 1.0400e+02
6.7557e+05 5.6954e+06 1.2989e+04 3.6178e+03 1.0400e+02
6.8240e+05 5.6886e+06 1.2987e+04 3.6168e+03 1.0400e+02
6.8922e+05 5.6818e+06 1.2985e+04 3.6158e+03 1.0400e+02
6.9604e+05 5.6750e+06 1.2983e+04 3.6147e+03 1.0400e+02
7.0287e+05 5.6681e+06 1.2981e+04 3.6137e+03 1.0400e+02
7.0969e+05 5.6613e+06 1.2979e+04 3.6126e+03 1.0400e+02
7.1652e+05 5.6545e+06 1.2977e+04 3.6116e+03 1.0400e+02
7.2334e+05 5.6477e+06 1.2975e+04 3.6105e+03 1.0400e+02
7.3016e+05 5.6408e+06 1.2972e+04 3.6094e+03 1.0400e+02
7.3699e+05 5.6340e+06 1.2970e+04 3.6083e+03 1.0400e+02
7.4381e+05 5.6272e+06 1.2968e+04 3.6072e+03 1.0400e+02
7.5064e+05 5.6204e+06 1.2966e+04 3.6061e+03 1.0400e+02
7.5746e+05 5.6135e+06 1.2964e+04 3.6049e+03 1.0400e+02
7.6428e+05 5.6067e+06 1.2961e+04 3.6038e+03 1.0400e+02
7.7111e+05 5.5999e+06 1.2959e+04 3.6027e+03 1.0400e+02
7.7793e+05 5.5931e+06 1.2957e+04 3.6015e+03 1.0400e+02
7.8476e+05 5.5862e+06 1.2954e+04 3.6003e+03 1.0400e+02
7.9158e+05 5.5794e+06 1.2952e+04 3.5991e+03 1.0400e+02
7.9840e+05 5.5726e+06 1.2950e+04 3.5979e+03 1.0400e+02
8.0523e+05 5.5658e+06 1.2947e+04 3.5968e+03 1.0400e+02
8.1205e+05 5.5589e+06 1.2945e+04 3.5955e+03 1.0400e+02
8.1888e+05 5.5521e+06 1.2942e+04 3.5943e+03 1.0400e+02
8.2570e+05 5.5453e+06 1.2940e+04 3.5931e+03 1.0400e+02
8.3252e+05 5.5385e+06 1.2938e+04 3.5919e+03 1.0400e+02
8.3935e+05 5.5317e+06 1.2935e+04 3.5906e+03 1.0400e+02
8.4617e+05 5.5248e+06 1.2933e+04 3.5893e+03 1.0400e+02
8.5300e+05 5.5180e+06 1.2930e+04 3.5881e+03 1.0400e+02
8.5982e+05 5.5112e+06 1.2928e+04 3.5868e+03 1.0400e+02
8.6664e+05 5.5044e+06 1.2925e+04 3.5855e+03 1.0400e+02
8.7347e+05 5.4975e+06 1.2922e+04 3.5842e+03 1.0400e+02
8.8029e+05 5.4907e+06 1.2920e+04 3.5829e+03 1.0400e+02
8.8712e+05 5.4839e+06 1.2917e+04 3.5816e+03 1.0400e+02
8.9394e+05 5.4771e+06 1.2914e+04 3.5802e+03 1.0400e+02
9.0076e+05 5.4702e+06 1.2912e+04 3.5789e+03 1.0400e+02
9.0759e+05 5.4634e+06 1.2909e+04 3.5775e+03 1.0400e+02
9.1441e+05 5.4566e+06 1.2906e+04 3.5762e+03 1.0400e+02
9.2124e+05 5.4498e+06 1.2904e+04 3.5748e+03 1.0400e+02
9.2806e+05 5.4429e+06 1.2901e+04 3.5734e+03 1.0400e+02
9.3488e+05 5.4361e+06 1.2898e+04 3.5720e+03 1.0400e+02
9.4171e+05 5.4293e+06 1.2895e+04 3.5706e+03 1.0400e+02
9.4853e+05 5.4225e+06 1.2893e+04 3.5692e+03 1.0400e+02
9.5536e+05 5.4156e+06 1.2890e+04 3.5678e+03 1.0400e+02
9.6218e+05 5.4088e+06 1.2887e+04 3.5664e+03 1.0400e+02
9.6900e+05 5.4020e+06 1.2884e+04 3.5649e+03 1.0400e+02
9.7583e+05 5.3952e+06 1.2881e+04 3.5635e+03 1.0400e+02
9.8265e+05 5.3883e+06 1.2878e+04 3.5620e+03 1.0400e+02
9.8948e+05 5.3815e+06 1.2875e+04 3.5605e+03 1.0400e+02
9.9630e+05 5.3747e+06 1.2872e+04 3.5590e+03 1.0400e+02
1.0031e+06 5.3679e+06 1.2869e+04 3.5575e+03 1.0400e+02
1.0099e+06 5.3611e+06 1.2866e+04 3.5560e+03 1.0400e+02
1.0168e+06 5.3542e+06 1.2863e+04 3.5545e+03 1.0400e+02
1.0236e+06 5.3474e+06 1.2860e+04 3.5530e+03 1.0400e+02
1.0304e+06 5.3406e+06 1.2857e+04 3.5515e+03 1.0400e+02
1.0372e+06 5.3338e+06 1.2854e+04 3.5499e+03 1.0400e+02
1.0441e+06 5.3269e+06 1.2851e+04 3.5484e+03 1.0400e+02
1.0509e+06 5.3201e+06 1.2848e+04 3.5468e+03 1.0400e+02
1.0577e+06 5.3133e+06 1.2845e+04 3.5452e+03 1.0400e+02
1.0645e+06 5.3065e+06 1.2842e+04 3.5436e+03 1.0400e+02
1.0714e+06 5.2996e+06 1.2839e+04 3.5420e+03 1.0400e+02
1.0782e+06 5.2928e+06 1.2835e+04 3.5404e+03 1.0400e+02
1.0850e+06 5.2860e+06 1.2832e+04 3.5388e+03 1.0400e+02
1.0918e+06 5.2792e+06 1.2829e+04 3.5372e+03 1.0400e+02
1.0987e+06 5.2723e+06 1.2826e+04 3.5355e+03 1.0400e+02
1.1055e+06 5.2655e+06 1.2822e+04 3.5339e+03 1.0400e+02
