radius depth density Vs Qmu
1.5000e+06 4.8710e+06 1.2010e+04 0.0000e+00 0.0000e+00
1.4000e+06 4.9710e+06 1.2069e+04 0.0000e+00 0.0000e+00
1.3000e+06 5.0710e+06 1.2125e+04 0.0000e+00 0.0000e+00
1.2215e+06 5.1495e+06 1.2166e+04 0.0000e+00 0.0000e+00
1.2215e+06 5.1495e+06 1.2764e+04 3.4345e+03 8.5000e+01
1.2000e+06 5.1710e+06 1.2775e+04 3.4401e+03 8.5000e+01
1.1000e+06 5.2710e+06 1.2825e+04 3.4648e+03 8.5000e+01
1.0000e+06 5.3710e+06 1.2871e+04 3.4873e+03 8.5000e+01
9.0000e+05 5.4710e+06 1.2912e+04 3.5077e+03 8.5000e+01
8.0000e+05 5.5710e+06 1.2949e+04 3.5260e+03 8.5000e+01
7.0000e+05 5.6710e+06 1.2982e+04 3.5421e+03 8.5000e+01
6.0000e+05 5.7710e+06 1.3010e+04 3.5560e+03 8.5000e+01
5.0000e+05 5.8710e+06 1.3034e+04 3.5678e+03 8.5000e+01
4.0000e+05 5.9710e+06 1.3054e+04 3.5775e+03 8.5000e+01
3.0000e+05 6.0710e+06 1.3069e+04 3.5850e+03 8.5000e+01
2.0000e+05 6.1710e+06 1.3080e+04 3.5904e+03 8.5000e+01
1.0000e+05 6.2710e+06 1.3086e+04 3.5936e+03 8.5000e+01
0.0000e+00 6.3710e+06 1.3088e+04 3.5947e+03 8.5000e+01
